,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
15504,510189001851,Not Applicable,5101890,500,High,322,92.37999725,20.1,955,906,0.5131649651,0.5131649651,0.1730252552,1,VIRGINIA,51,95,500,0,64,51,38,17,330,36,81,1,3,25,1,10268,697,93,450,95
15505,510189002278,Not Applicable,5101890,472,High,118,93.93000031,19,978,806,0.548206278,0.548206278,0.06614349776,1,VIRGINIA,51,96,479,0,70,32,25,22,330,41,25,0,2,16,1,10268,725,93,419,98
15506,510189002837,Not Applicable,5101890,433,High,370,95.69999695,19.3,922,928,0.4983783784,0.4983783784,0.2,1,VIRGINIA,51,95,446,0,56,79,19,23,269,48,79,1,6,18,1,10268,798,90,433,92
15507,510324002082,Yes,5103240,179,High,812,63.59999847,13.1,392,444,0.4688995215,0.4688995215,0.971291866,1,VIRGINIA,51,55,233,0,0,220,4,1,8,89,207,3,15,0,0,14585,232,50,181,50
15508,510324001373,Not Applicable,5103240,52,High,197,14.80000019,13.5,87,113,0.435,0.435,0.985,1,VIRGINIA,51,90,52,1,1,20,5,3,22,1,12,0,1,0,1,14585,73,95,45,90
15509,510324002070,Not Applicable,5103240,147,High,762,46.58000183,16.4,348,417,0.4549019608,0.4549019608,0.9960784314,1,VIRGINIA,51,85,156,0,4,104,11,0,37,18,80,1,5,5,1,14585,424,56,170,65
15510,510324002075,Not Applicable,5103240,53,High,237,19.56999969,12.3,83,157,0.3458333333,0.3458333333,0.9875,1,VIRGINIA,51,90,52,0,0,42,4,1,5,3,24,0,2,0,1,14585,123,95,61,95
15511,510324002080,Yes,5103240,145,High,623,48.00999832,13,312,314,0.4984025559,0.4984025559,0.9952076677,1,VIRGINIA,51,80,150,0,1,133,3,0,13,39,110,1,12,0,1,14585,319,47,138,70
15512,510324002081,Yes,5103240,227,High,1073,82.02999878,13.1,539,537,0.500929368,0.500929368,0.9972118959,1,VIRGINIA,51,49,303,1,1,176,112,1,12,71,171,0,8,50,0,14585,523,31,213,60
15513,510324002083,Not Applicable,5103240,317,High,1331,84.83000183,15.7,660,674,0.4947526237,0.4947526237,0.9977511244,1,VIRGINIA,51,62,436,1,4,252,149,1,29,70,207,0,17,50,0,14585,586,64,296,55
