,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
10794,362898003921,Not Applicable,3628980,61,High,100,28.02000046,10.8,149,154,0.4917491749,0.4917491749,0.3300330033,1,NEW YORK,36,90,82,0,1,1,0,2,78,6,29,0,1,0,1,22274,40.50417174,90,50.59406569,90
10795,360001801936,Yes,3600018,58,High,159,40.61000061,9.6,179,210,0.4601542416,0.4601542416,0.4087403599,1,NEW YORK,36,95,76,0,1,0,2,1,72,5,25,0,0,0,1,22859,56,90,56,90
10796,360453000201,Not Applicable,3604530,60,High,97,34.02000046,11.1,207,172,0.5461741425,0.5461741425,0.2559366755,1,NEW YORK,36,90,70,0,1,2,1,0,66,4,18,0,0,0,1,18715,40.50417174,90,50.59406569,90
10797,360561000289,Yes,3605610,34,High,164,26.01000023,10.9,138,145,0.4876325088,0.4876325088,0.5795053004,1,NEW YORK,36,90,41,0,0,0,1,1,39,5,23,0,0,0,1,26470,40.50417174,90,50.59406569,90
10798,360666000451,Yes,3606660,58,High,244,45.04000092,10.2,248,210,0.5414847162,0.5414847162,0.5327510917,1,NEW YORK,36,85,83,0,1,1,6,1,74,16,43,0,1,0,1,23948,40.50417174,80,50.59406569,80
10799,360942000719,Yes,3609420,138,High,347,55.00999832,10.9,313,289,0.5199335548,0.5199335548,0.5764119601,1,NEW YORK,36,70,155,2,0,8,92,1,52,19,96,0,2,26,1,20153,40.50417174,90,50.59406569,85
10800,361092000869,Not Applicable,3610920,96,High,290,47.25214875,,331,307,0.5188087774,0.5188087774,0.4545454545,1,NEW YORK,36,95,73,0,1,1,0,0,71,7,23,0,0,0,1,16441,40.50417174,95,50.59406569,90
10801,361125000889,Not Applicable,3611250,26,High,109,21.75,10.3,111,112,0.4977578475,0.4977578475,0.4887892377,1,NEW YORK,36,90,44,0,0,0,2,0,42,3,24,0,1,0,1,22352,40.50417174,80,50.59406569,80
10802,361152000907,Yes,3611520,130,High,143,38,12.3,265,201,0.5686695279,0.5686695279,0.3068669528,1,NEW YORK,36,95,122,1,1,1,7,1,111,4,27,0,0,0,1,19165,40.50417174,95,50.59406569,95
10803,361161000917,Not Applicable,3611610,62,High,144,31.03000069,12.3,190,193,0.4960835509,0.4960835509,0.3759791123,1,NEW YORK,36,90,52,0,1,0,0,0,51,6,18,0,1,0,1,18119,40.50417174,90,50.59406569,95
10804,361563001350,Not Applicable,3615630,326,High,800,100.9700012,13.4,683,669,0.5051775148,0.5051775148,0.5917159763,1,NEW YORK,36,77,337,2,1,22,57,37,218,42,209,1,3,11,1,16831,40.50417174,85,50.59406569,90
10805,362241003156,Not Applicable,3622410,47,High,81,18.02000046,11.8,103,110,0.4835680751,0.4835680751,0.3802816901,1,NEW YORK,36,90,32,0,0,0,2,0,30,1,15,0,0,0,1,23134,40.50417174,90,50.59406569,90
10806,362307003232,Yes,3623070,31,High,131,18.02000046,12.8,124,107,0.5367965368,0.5367965368,0.5670995671,1,NEW YORK,36,90,41,0,0,0,0,0,41,2,21,0,0,0,1,23773,40.50417174,80,50.59406569,80
10807,362673003650,Yes,3626730,47,High,107,17.01000023,11.5,96,100,0.4897959184,0.4897959184,0.5459183673,1,NEW YORK,36,80,26,0,0,3,0,0,23,4,11,0,0,0,1,23577,40.50417174,90,50.59406569,90
10808,362688003666,Yes,3626880,75,High,159,19.26000023,16,131,178,0.4239482201,0.4239482201,0.5145631068,1,NEW YORK,36,90,78,8,0,0,4,1,65,10,42,0,3,0,1,20685,40.50417174,95,50.59406569,95
10809,362766003756,Yes,3627660,104,High,139,31.05999947,13.4,216,199,0.5204819277,0.5204819277,0.334939759,1,NEW YORK,36,90,106,0,5,0,1,4,96,9,33,0,1,0,1,18177,40.50417174,95,50.59406569,90
10810,363099004164,Yes,3630990,59,High,96,13.01000023,16.8,112,106,0.5137614679,0.5137614679,0.4403669725,1,NEW YORK,36,80,53,0,0,1,4,1,47,7,26,0,0,0,1,22584,40.50417174,90,50.59406569,90
10811,361050004338,Yes,3610500,131,High,313,35.99000168,13.8,240,258,0.4819277108,0.4819277108,0.6285140562,1,NEW YORK,36,80,106,0,4,16,30,4,52,25,72,0,10,8,1,29240,40.50417174,85,50.59406569,90
10812,361440001192,Not Applicable,3614400,143,High,199,36.00999832,15.1,278,267,0.5100917431,0.5100917431,0.3651376147,1,NEW YORK,36,90,151,0,7,13,15,5,111,17,68,0,2,2,1,23310,40.50417174,90,50.59406569,90
10813,361629001436,Not Applicable,3616290,459,High,1001,134.0099945,14.2,991,911,0.5210304942,0.5210304942,0.5262881178,1,NEW YORK,36,80,488,1,9,88,89,25,276,92,285,1,12,30,1,25080,40.50417174,90,50.59406569,90
10814,362046001891,Not Applicable,3620460,174,High,181,54.00999832,14.1,399,362,0.5243101183,0.5243101183,0.2378449409,1,NEW YORK,36,95,189,1,8,4,19,2,155,24,41,0,1,1,1,26503,40.50417174,95,50.59406569,95
10815,362184003101,Yes,3621840,99,High,177,35.40999985,11.6,210,201,0.5109489051,0.5109489051,0.4306569343,1,NEW YORK,36,85,113,0,2,2,13,2,94,20,53,1,2,0,1,40206,40.50417174,90,50.59406569,95
10816,362496003458,Yes,3624960,141,High,297,55.93000031,11.8,344,316,0.5212121212,0.5212121212,0.45,1,NEW YORK,36,90,156,4,3,7,6,0,136,35,73,0,2,0,1,30280,40.50417174,90,50.59406569,85
10817,362580003549,Yes,3625800,207,High,343,54.65000153,15.1,406,419,0.4921212121,0.4921212121,0.4157575758,1,NEW YORK,36,82,244,0,5,8,24,4,203,40,105,0,4,9,1,23453,40.50417174,90,50.59406569,95
10818,361857001670,Yes,3618570,143,High,198,43.97999954,13,287,285,0.5017482517,0.5017482517,0.3461538462,1,NEW YORK,36,90,160,0,2,16,25,2,115,22,55,0,2,2,1,24265,40.50417174,90,50.59406569,95
10819,362979004004,Yes,3629790,215,High,327,72.02999878,13.3,510,450,0.53125,0.53125,0.340625,1,NEW YORK,36,89,248,0,3,18,35,2,190,32,83,2,4,2,1,24062,40.50417174,90,50.59406569,95
10820,360582000294,Yes,3605820,42,High,209,27,12.6,175,166,0.5131964809,0.5131964809,0.6129032258,1,NEW YORK,36,90,57,0,0,0,0,1,56,8,30,0,2,0,1,21119,40.50417174,90,50.59406569,90
10821,360708000498,Yes,3607080,30,High,92,18,11.9,106,109,0.4930232558,0.4930232558,0.4279069767,1,NEW YORK,36,90,37,0,0,0,0,0,37,6,19,0,1,0,1,23370,40.50417174,90,50.59406569,90
10822,361818001635,Yes,3618180,184,High,350,57.04000092,12,359,325,0.5248538012,0.5248538012,0.5116959064,1,NEW YORK,36,85,179,2,3,2,2,1,169,38,97,2,8,0,1,20777,40.50417174,90,50.59406569,90
10823,362550003524,Yes,3625500,92,High,341,35.18000031,13.5,241,235,0.506302521,0.506302521,0.7163865546,1,NEW YORK,36,80,98,65,0,0,0,0,33,18,76,2,3,0,1,26536,40.50417174,95,50.59406569,95
10824,362574003535,Not Applicable,3625740,89,High,125,33.02000046,10.6,189,160,0.5415472779,0.5415472779,0.3581661891,1,NEW YORK,36,85,88,0,1,1,1,0,85,20,33,1,1,0,1,26665,40.50417174,90,50.59406569,90
